Pseudochromis fuscus	fish_90
Chromis chromis	fish_87
Parablennius parvicornis	fish_88
Anabas testudineus	fish_85
Helostoma temminckii	fish_84
Selene dorsalis	fish_86
Antennarius striatus	fish_52
Spondyliosoma cantharus	fish_81
Symphodus melops	fish_89
Chaenocephalus aceratus	fish_61
Sebastes norvegicus	fish_56
Myoxocephalus scorpius	fish_91
Perca fluviatilis	fish_55
Lesueurigobius cf. sanzoi	fish_96
Thunnus albacares	fish_83
Chatrabus melanurus	fish_40
Carapus acus	fish_33
Lamprogrammus exutus	fish_31
Brotula barbata	fish_32
Acanthochaenus luetkenii	fish_79
Rondeletia loricata	fish_68
Beryx splendens	fish_69
Neoniphon sammara	fish_70
Holocentrus rufus	fish_35
Myripristis jacobus	fish_34
Monocentris japonica	fish_74
Lampris guttauts	fish_48
Regalecus glesne	fish_47
Gadus morhua	fish_97
Theragra chalcogramma	fish_7
Boreogadus saida	fish_2
Arctogadus glacialis	fish_1
Merlangius merlangus	fish_6
Melanogrammus aeglefinus	fish_5
Pollachius virens	fish_4
Gadiculus argenteus	fish_8
Trisopterus minutus	fish_3
Brosme brosme	fish_12
Molva molva	fish_10
Lota lota	fish_11
Phycis phycis	fish_9
Phycis blennoides	fish_95
Malacocephalus occidentalis	fish_18
Macrourus berglax	fish_17
Bathygadus melanobranchus	fish_19
Laemonema laureysi	fish_23
Mora moro	fish_22
Trachyrincus murrayi	fish_94
Trachyrincus scabrus	fish_36
Muraenolepis marmoratus	fish_20
Melanonus zugmayeri	fish_16
Merluccius capensis	fish_14
Merluccius merluccius	fish_13
Merluccius polli	fish_15
Bregmaceros cantori	fish_21
Stylephorus chordatus	fish_80
Cyttopsis roseus	fish_30
Zeus faber	fish_28
Typhlichthys subterraneus	fish_27
Percopsis transmontana	fish_26
Polymixia japonica	fish_24
Benthosema glaciale	fish_66
Guentherus altivela	fish_50
Parasudis fraserbrunneri	fish_42
Borostomias antarcticus	fish_65
Osmerus eperlanus	fish_54
