generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Astmex,Lepsal,0,0.08,0,0.02,0
100000,Astmex,Lepsal,0,0.0494379,0,0.025182,0
100000,fish_15,fish_13,185.249,0.207192,0,0.225229,0
100000,fish_21,fish_15,133.251,0.117576,0,0.0760426,0
100000,fish_36,fish_94,191.658,0.142005,0,0.0891912,0
100000,fish_40,fish_83,97.8641,0.158472,0,0.0985638,0
200000,Astmex,Lepsal,0,0.065878,0,0.0382484,0
200000,fish_15,fish_95,147.602,0.0775621,0,0.0192709,0
200000,fish_15,fish_95,144.51,0.0520641,0,0.000694238,0
200000,fish_32,fish_31,131.913,0.125074,0,0.0899673,0
200000,fish_32,fish_40,89.0857,0.117494,0,0.0504272,0
300000,Astmex,Lepsal,0,0.0324081,0,0.0100615,0
300000,fish_15,fish_13,204.283,0.595667,0,0.50653,0
300000,fish_5,fish_1,207.415,0.166201,0,0.0238623,0
300000,fish_15,fish_95,144.638,0.0685539,0,0.0085491,0
300000,fish_32,fish_40,87.0716,0.196993,0,0.142602,0
400000,Astmex,Lepsal,0,0.0650589,0,0.041763,0
400000,fish_47,fish_48,145.782,0.0990994,0,0.0845019,0
400000,fish_17,fish_18,190.667,0.274714,0,0.0641785,0
400000,fish_3,fish_4,195.806,0.107286,0,0.00331053,0
400000,fish_35,fish_70,195.577,0.168077,0,0.0910983,0
400000,fish_32,fish_40,95.6486,0.192443,0,0.134281,0
