     branch_id	        origin	   termination	    species_id	        regime	   start_trait	     end_trait
            b0	        194.53	        117.37	       unknown	             1	          6.85	          7.05
            b1	        194.53	        168.74	       unknown	             1	          6.85	          6.81
            b2	        117.37	          0.00	       fish_54	             1	          7.05	          7.16
            b3	        117.37	          0.00	       fish_65	             1	          7.05	         17.75
            b4	        168.74	        158.45	       unknown	             1	          6.81	          6.80
            b5	        168.74	        161.78	       unknown	             1	          6.81	          6.82
            b6	        158.45	        150.88	       unknown	             1	          6.80	          6.81
            b7	        158.45	          0.00	       fish_66	             1	          6.80	          3.41
            b8	        161.78	          0.00	       fish_42	             1	          6.82	          4.87
            b9	        161.78	          0.00	       fish_50	             1	          6.82	          8.34
           b10	        150.88	        147.05	       unknown	             1	          6.81	          6.82
           b11	        150.88	        144.67	       unknown	             1	          6.81	          6.80
           b12	        147.05	        139.78	       unknown	             1	          6.82	          6.87
           b13	        147.05	         49.62	       unknown	             1	          6.82	          5.77
           b14	        144.67	        125.50	       unknown	             1	          6.80	          6.76
           b15	        144.67	        135.75	       unknown	             6	          6.80	          8.98
           b16	        139.78	        136.76	       unknown	             1	          6.87	          6.88
           b17	        139.78	          0.00	       fish_74	             1	          6.87	          7.46
           b18	         49.62	          0.00	       fish_47	             1	          5.77	          5.28
           b19	         49.62	          0.00	       fish_48	             1	          5.77	          3.98
           b20	        125.50	        104.46	       unknown	             1	          6.76	          6.77
           b21	        125.50	         32.85	       unknown	             1	          6.76	          5.86
           b22	        135.75	         60.18	       unknown	             6	          8.98	         20.32
           b23	        135.75	          0.00	       fish_24	             6	          8.98	         20.77
           b24	        136.76	        127.74	       unknown	             1	          6.88	          6.92
           b25	        136.76	        129.15	       unknown	             1	          6.88	          6.89
           b26	        104.46	         84.89	       unknown	             1	          6.77	          6.53
           b27	        104.46	          0.00	       fish_80	             1	          6.77	         12.66
           b28	         32.85	          0.00	       fish_28	             1	          5.86	          4.39
           b29	         32.85	          0.00	       fish_30	             1	          5.86	          6.64
           b30	         60.18	          0.00	       fish_26	             6	         20.32	         14.28
           b31	         60.18	          0.00	       fish_27	             6	         20.32	         34.93
           b32	        127.74	        123.16	       unknown	             2	          6.92	          8.18
           b33	        127.74	         90.88	       unknown	             1	          6.92	          7.19
           b34	        129.15	         59.02	       unknown	             1	          6.89	          7.47
           b35	        129.15	        113.17	       unknown	             1	          6.89	          6.84
           b36	         84.89	         70.99	       unknown	             8	          6.53	          9.55
           b37	         84.89	          0.00	       fish_21	             1	          6.53	          3.19
           b38	        123.16	        118.01	       unknown	             2	          8.18	          9.62
           b39	        123.16	          0.00	       fish_40	             2	          8.18	         21.66
           b40	         90.88	         66.96	       unknown	             1	          7.19	          6.97
           b41	         90.88	          0.00	       fish_32	             1	          7.19	         15.82
           b42	         59.02	         14.65	       unknown	             1	          7.47	         10.06
           b43	         59.02	          0.00	       fish_34	             1	          7.47	          6.40
           b44	        113.17	         89.72	       unknown	             1	          6.84	          6.77
           b45	        113.17	          0.00	       fish_69	             3	          6.84	         39.11
           b46	         70.99	         58.77	       unknown	             8	          9.55	         11.97
           b47	         70.99	         67.53	       unknown	             9	          9.55	         11.41
           b48	        118.01	        115.32	       unknown	             2	          9.62	         10.36
           b49	        118.01	        103.81	       unknown	             2	          9.62	         13.60
           b50	         66.96	          0.00	       fish_31	             1	          6.97	          5.55
           b51	         66.96	          0.00	       fish_33	             1	          6.97	          8.04
           b52	         14.65	          0.00	       fish_35	             1	         10.06	         12.56
           b53	         14.65	          0.00	       fish_70	             1	         10.06	          8.73
           b54	         89.72	          0.00	       fish_68	             1	          6.77	          2.98
           b55	         89.72	          0.00	       fish_79	             1	          6.77	         12.66
           b56	         58.77	         45.67	       unknown	             8	         11.97	         15.46
           b57	         58.77	         16.40	       unknown	             8	         11.97	         11.88
           b58	         67.53	         63.96	       unknown	             9	         11.41	         13.16
           b59	         67.53	          5.80	       unknown	             9	         11.41	         85.76
           b60	        115.32	        111.22	       unknown	             2	         10.36	         11.51
           b61	        115.32	        112.01	       unknown	             2	         10.36	         11.24
           b62	        103.81	          0.00	       fish_83	             2	         13.60	         54.56
           b63	        103.81	          0.00	       fish_96	             2	         13.60	         16.42
           b64	         45.67	         42.48	       unknown	             8	         15.46	         16.09
           b65	         45.67	          0.00	       fish_11	             8	         15.46	         25.19
           b66	         16.40	          0.00	       fish_95	             8	         11.88	         14.49
           b67	         16.40	          0.00	        fish_9	             8	         11.88	          9.59
