	species	ancestor	time	regime	trait	trait.me
1	NA	0	0.0000	1	NA	NA
2	NA	1	25.7839	1	NA	NA
3	NA	2	32.7461	1	NA	NA
4	NA	2	36.0833	1	NA	NA
5	NA	4	43.6441	1	NA	NA
6	NA	5	47.4838	1	NA	NA
7	NA	5	49.8555	1	NA	NA
8	NA	6	54.7523	1	NA	NA
9	NA	8	57.7640	1	NA	NA
10	NA	7	58.7794	6	NA	NA
11	NA	9	65.3815	1	NA	NA
12	NA	9	66.7930	1	NA	NA
13	NA	7	69.0264	1	NA	NA
14	NA	12	71.3670	2	NA	NA
15	NA	14	76.5164	2	NA	NA
16	NA	1	77.1564	1	NA	NA
17	NA	15	79.2121	2	NA	NA
18	NA	11	81.3567	1	NA	NA
19	NA	17	82.5158	2	NA	NA
20	NA	17	83.3105	2	NA	NA
21	NA	20	86.6247	2	NA	NA
22	NA	19	87.8392	2	NA	NA
23	NA	13	90.0681	1	NA	NA
24	NA	21	90.5187	2	NA	NA
25	NA	15	90.7206	2	NA	NA
26	NA	19	102.2213	2	NA	NA
27	NA	12	103.6447	1	NA	NA
28	NA	18	104.8118	1	NA	NA
29	NA	26	108.4925	2	NA	NA
30	NA	23	109.6381	1	NA	NA
31	NA	20	110.5455	2	NA	NA
32	NA	31	116.4938	2	NA	NA
33	NA	32	123.1186	2	NA	NA
34	NA	30	123.5399	8	NA	NA
35	NA	34	126.9963	9	NA	NA
36	NA	27	127.5700	1	NA	NA
37	NA	22	130.3356	2	NA	NA
38	NA	35	130.5726	9	NA	NA
39	NA	38	132.0999	9	NA	NA
40	NA	39	134.0391	9	NA	NA
41	NA	10	134.3475	6	NA	NA
42	NA	11	135.5102	1	NA	NA
43	NA	34	135.7617	8	NA	NA
44	NA	39	137.6443	9	NA	NA
45	NA	40	144.6843	9	NA	NA
46	NA	6	144.9109	1	NA	NA
47	NA	43	148.8605	8	NA	NA
48	NA	47	152.0514	8	NA	NA
49	NA	48	155.4899	8	NA	NA
50	NA	40	157.5470	9	NA	NA
51	NA	13	161.6779	1	NA	NA
52	NA	45	164.8564	9	NA	NA
53	NA	49	167.6208	8	NA	NA
54	NA	53	171.8322	8	NA	NA
55	NA	53	176.6420	8	NA	NA
56	NA	43	178.1283	8	NA	NA
57	NA	42	179.8768	1	NA	NA
58	NA	55	181.1286	8	NA	NA
59	NA	44	182.4573	9	NA	NA
60	NA	58	184.1334	8	NA	NA
61	NA	58	186.8547	8	NA	NA
62	NA	35	188.7290	9	NA	NA
63	NA	61	189.3060	8	NA	NA
64	NA	61	191.1825	8	NA	NA
65	NA	62	192.3267	9	NA	NA
66	fish_54	16	194.5289	1	1.9685	0.0010
67	fish_65	16	194.5289	1	2.8763	0.0035
68	fish_66	4	194.5289	1	1.2263	0.0010
69	fish_42	3	194.5289	1	1.5832	0.0011
70	fish_50	3	194.5289	1	2.1216	0.0007
71	fish_74	8	194.5289	1	2.0101	0.0005
72	fish_47	46	194.5289	1	1.6634	0.0005
73	fish_48	46	194.5289	1	1.3813	0.0006
74	fish_24	10	194.5289	6	3.0335	0.0006
75	fish_80	23	194.5289	1	2.5381	0.0007
76	fish_28	51	194.5289	1	1.4783	0.0008
77	fish_30	51	194.5289	1	1.8929	0.0006
78	fish_26	41	194.5289	6	2.6592	0.0003
79	fish_27	41	194.5289	6	3.5533	0.0008
80	fish_21	30	194.5289	1	1.1591	0.0056
81	fish_40	14	194.5289	2	3.0754	0.0004
82	fish_32	27	194.5289	1	2.7614	0.0006
83	fish_34	42	194.5289	1	1.8567	0.0005
84	fish_69	18	194.5289	3	3.6665	0.0006
85	fish_31	36	194.5289	1	1.7143	0.0006
86	fish_33	36	194.5289	1	2.0850	0.0006
87	fish_35	57	194.5289	1	2.5306	0.0004
88	fish_70	57	194.5289	1	2.1664	0.0004
89	fish_68	28	194.5289	1	1.0926	0.0006
90	fish_79	28	194.5289	1	2.5387	0.0007
91	fish_83	25	194.5289	2	3.9993	0.0005
92	fish_96	25	194.5289	2	2.7985	0.0009
93	fish_11	47	194.5289	8	3.2264	0.0006
94	fish_95	56	194.5289	8	2.6737	0.0005
95	fish_9	56	194.5289	8	2.2611	0.0006
96	fish_16	38	194.5289	9	4.0247	0.0004
97	fish_15	62	194.5289	9	4.5370	0.0012
98	fish_10	48	194.5289	8	2.6353	0.0004
99	fish_13	65	194.5289	9	4.5884	0.0006
100	fish_14	65	194.5289	9	4.3207	0.0008
101	fish_55	31	194.5289	2	3.5048	0.0004
102	fish_89	21	194.5289	2	3.1350	0.0009
103	fish_88	26	194.5289	2	2.1851	0.0006
104	fish_86	22	194.5289	2	2.6932	0.0005
105	fish_12	49	194.5289	8	3.3214	0.0006
106	fish_20	44	194.5289	9	4.6448	0.0004
107	fish_91	32	194.5289	2	2.2182	0.0005
108	fish_52	24	194.5289	2	2.9908	0.0010
109	fish_81	24	194.5289	2	4.4869	0.0005
110	fish_87	29	194.5289	2	3.5546	0.0008
111	fish_90	29	194.5289	2	2.1682	0.0006
112	fish_84	37	194.5289	2	4.1200	0.0005
113	fish_85	37	194.5289	2	4.0208	0.0004
114	fish_19	45	194.5289	9	4.3905	0.0004
115	fish_22	50	194.5289	9	2.5104	0.0003
116	fish_23	50	194.5289	9	2.8999	0.0005
117	fish_36	59	194.5289	9	4.5008	0.0005
118	fish_94	59	194.5289	9	4.2540	0.0005
119	fish_56	33	194.5289	2	3.2173	0.0010
120	fish_61	33	194.5289	2	3.0399	0.0003
121	fish_4	55	194.5289	8	3.0699	0.0006
122	fish_3	54	194.5289	8	1.7927	0.0004
123	fish_8	54	194.5289	8	2.7760	0.0005
124	fish_17	52	194.5289	9	3.8188	0.0008
125	fish_18	52	194.5289	9	2.7209	0.0008
126	fish_5	60	194.5289	8	3.5225	0.0006
127	fish_6	60	194.5289	8	3.6953	0.0005
128	fish_1	63	194.5289	8	3.7977	0.0010
129	fish_2	63	194.5289	8	3.8282	0.0007
130	fish_7	64	194.5289	8	3.6913	0.0006
131	fish_97	64	194.5289	8	4.4366	0.0005
