species	clade
Astmex	Otomorpha
Danrer	Otomorpha
Lepsal	Lepidogalaxiiformes
fish_1	Gadinae
fish_10	Lotinae
fish_11	Lotinae
fish_12	Lotinae
fish_13	Merlucciidae
fish_14	Merlucciidae
fish_15	Merlucciidae
fish_16	Melanonidae
fish_17	Macrourinae
fish_18	Macrourinae
fish_19	Bathygadinae
fish_2	Gadinae
fish_20	Muraenolepididae
fish_21	Bregmacerotidae
fish_22	Moridae
fish_23	Moridae
fish_24	Polymixiiformes
fish_26	Percopsiformes
fish_27	Percopsiformes
fish_28	Zeiformes
fish_3	Gadinae
fish_30	Zeiformes
fish_31	Ophidiiformes
fish_32	Ophidiiformes
fish_33	Ophidiiformes
fish_34	Holocentriformes
fish_35	Holocentriformes
fish_36	Trachyrincinae
fish_4	Gadinae
fish_40	Batrachoidiformes
fish_42	Aulopiformes
fish_47	Lampridiformes
fish_48	Lampridiformes
fish_5	Gadinae
fish_50	Ateleopodiformes
fish_52	Percomorpharia
fish_54	Osmeriformes
fish_55	Percomorpharia
fish_56	Percomorpharia
fish_6	Gadinae
fish_61	Percomorpharia
fish_65	Stomiatiformes
fish_66	Myctophiformes
fish_68	Cetomimoidea
fish_69	Berycoidei
fish_7	Gadinae
fish_70	Holocentriformes
fish_74	Trachichthyoidei
fish_79	Stephanoberycoidea
fish_8	Gadinae
fish_80	Stylephoriformes
fish_81	Percomorpharia
fish_83	Scombriformes
fish_84	Anabantomorphariae 
fish_85	Anabantomorphariae 
fish_86	Carangimorphariae 
fish_87	Ovalentariae
fish_88	Ovalentariae
fish_89	Percomorpharia
fish_9	Phycinae
fish_90	Ovalentariae
fish_91	Percomorpharia
fish_94	Trachyrincinae
fish_95	Phycinae
fish_96	Gobiomorpharia 
fish_97	Gadinae
Salsal	Protacanthopterygii
