danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor	takrub_gene_id	tetnig_gene_id	xipmac_gene_id
ENSDARG00000000476	ENSDART00000002053	5	ENSAMXG00000018711	ENSDARG00000000476	ENSGMOG00000012641	ENSGACG00000002634	ENSONIG00000007164	ENSORLG00000015090	ENSPFOG00000011839	ENSTRUG00000012846	ENSTNIG00000015715	ENSXMAG00000005904	
ENSDARG00000000861	ENSDART00000021013	7	ENSAMXG00000018369	ENSDARG00000000861	ENSGMOG00000006464	ENSGACG00000004725	ENSONIG00000006252	ENSORLG00000012302	ENSPFOG00000019196	ENSTRUG00000005856	ENSTNIG00000013674	ENSXMAG00000001864	
ENSDARG00000001897	ENSDART00000004780	5	ENSAMXG00000012012	ENSDARG00000001897	ENSGMOG00000006591	ENSGACG00000000228	ENSONIG00000000405	ENSORLG00000020068	ENSPFOG00000013705	ENSTRUG00000010840	ENSTNIG00000018809	ENSXMAG00000000351	
ENSDARG00000002303	ENSDART00000082119	7	ENSAMXG00000013542	ENSDARG00000002303	ENSGMOG00000018888	ENSGACG00000000589	ENSONIG00000007471	ENSORLG00000020105	ENSPFOG00000002834	ENSTRUG00000010084	ENSTNIG00000002483	ENSXMAG00000002827	
ENSDARG00000002487	ENSDART00000028043	5	ENSAMXG00000004967	ENSDARG00000002487	ENSGMOG00000007458	ENSGACG00000010335	ENSONIG00000019138	ENSORLG00000019410	ENSPFOG00000000761	ENSTRUG00000003582	ENSTNIG00000018542	ENSXMAG00000015545	
ENSDARG00000002952	ENSDART00000005985	5	ENSAMXG00000009489	ENSDARG00000002952	ENSGMOG00000015883	ENSGACG00000019702	ENSONIG00000011655	ENSORLG00000014357	ENSPFOG00000003906	ENSTRUG00000016137	ENSTNIG00000007582	ENSXMAG00000011005	
ENSDARG00000002991	ENSDART00000033436	6	ENSAMXG00000005502	ENSDARG00000002991	ENSGMOG00000018777	ENSGACG00000014325	ENSONIG00000002931	ENSORLG00000000659	ENSPFOG00000017055	ENSTRUG00000015615	ENSTNIG00000017650	ENSXMAG00000016865	
ENSDARG00000003189	ENSDART00000007346	6	ENSAMXG00000001344	ENSDARG00000003189	ENSGMOG00000005954	ENSGACG00000009208	ENSONIG00000002599	ENSORLG00000007518	ENSPFOG00000024818	ENSTRUG00000017396	ENSTNIG00000015566	ENSXMAG00000005638	
ENSDARG00000003495	ENSDART00000047208	11	ENSAMXG00000006269	ENSDARG00000003495	ENSGMOG00000005341	ENSGACG00000017165	ENSONIG00000005841	ENSORLG00000001259	ENSPFOG00000003955	ENSTRUG00000016367	ENSTNIG00000009591	ENSXMAG00000000012	
ENSDARG00000003512	ENSDART00000024367	5	ENSAMXG00000015871	ENSDARG00000003512	ENSGMOG00000009224	ENSGACG00000019843	ENSONIG00000011422	ENSORLG00000015497	ENSPFOG00000006852	ENSTRUG00000013069	ENSTNIG00000018849	ENSXMAG00000001252	
ENSDARG00000003984	ENSDART00000022170	14	ENSAMXG00000010450	ENSDARG00000003984	ENSGMOG00000000609	ENSGACG00000020603	ENSONIG00000004790	ENSORLG00000004903	ENSPFOG00000024707	ENSTRUG00000005277	ENSTNIG00000009966	ENSXMAG00000010574	
ENSDARG00000004055	ENSDART00000046871	5	ENSAMXG00000015887	ENSDARG00000004055	ENSGMOG00000009349	ENSGACG00000019845	ENSONIG00000011416	ENSORLG00000015538	ENSPFOG00000011679	ENSTRUG00000012937	ENSTNIG00000011426	ENSXMAG00000001296	
ENSDARG00000004105	ENSDART00000003701	6	ENSAMXG00000011333	ENSDARG00000004105	ENSGMOG00000009842	ENSGACG00000006730	ENSONIG00000008859	ENSORLG00000010699	ENSPFOG00000005742	ENSTRUG00000018474	ENSTNIG00000018089	ENSXMAG00000011265	
ENSDARG00000004131	ENSDART00000006930	10	ENSAMXG00000019855	ENSDARG00000004131	ENSGMOG00000006072	ENSGACG00000002700	ENSONIG00000014326	ENSORLG00000007819	ENSPFOG00000013568	ENSTRUG00000005037	ENSTNIG00000008173	ENSXMAG00000010486	
ENSDARG00000004132	ENSDART00000112840	8	ENSAMXG00000013109	ENSDARG00000004132	ENSGMOG00000018066	ENSGACG00000004155	ENSONIG00000001579	ENSORLG00000001685	ENSPFOG00000019469	ENSTRUG00000004736	ENSTNIG00000004957	ENSXMAG00000016414	
ENSDARG00000004173	ENSDART00000048277	8	ENSAMXG00000006369	ENSDARG00000004173	ENSGMOG00000018593	ENSGACG00000017751	ENSONIG00000015174	ENSORLG00000002857	ENSPFOG00000012212	ENSTRUG00000010198	ENSTNIG00000004592	ENSXMAG00000005462	
ENSDARG00000004302	ENSDART00000043016	6	ENSAMXG00000003744	ENSDARG00000004302	ENSGMOG00000001985	ENSGACG00000007531	ENSONIG00000004049	ENSORLG00000004200	ENSPFOG00000014195	ENSTRUG00000014948	ENSTNIG00000014792	ENSXMAG00000017212	
ENSDARG00000005058	ENSDART00000113351	7	ENSAMXG00000014774	ENSDARG00000005058	ENSGMOG00000010393	ENSGACG00000010292	ENSONIG00000012903	ENSORLG00000012197	ENSPFOG00000013227	ENSTRUG00000003105	ENSTNIG00000008044	ENSXMAG00000011455	
ENSDARG00000005236	ENSDART00000003080	10	ENSAMXG00000008764	ENSDARG00000005236	ENSGMOG00000003379	ENSGACG00000004035	ENSONIG00000018197	ENSORLG00000012491	ENSPFOG00000018261	ENSTRUG00000011632	ENSTNIG00000010086	ENSXMAG00000014882	
ENSDARG00000005462	ENSDART00000026178	5	ENSAMXG00000020300	ENSDARG00000005462	ENSGMOG00000010886	ENSGACG00000020289	ENSONIG00000001791	ENSORLG00000010554	ENSPFOG00000019046	ENSTRUG00000004160	ENSTNIG00000010786	ENSXMAG00000005017	
ENSDARG00000005980	ENSDART00000102026	5	ENSAMXG00000008657	ENSDARG00000005980	ENSGMOG00000009205	ENSGACG00000017647	ENSONIG00000003757	ENSORLG00000010983	ENSPFOG00000019657	ENSTRUG00000000084	ENSTNIG00000006156	ENSXMAG00000009020	
ENSDARG00000006021	ENSDART00000026050	5	ENSAMXG00000011291	ENSDARG00000006021	ENSGMOG00000009325	ENSGACG00000007638	ENSONIG00000014987	ENSORLG00000005317	ENSPFOG00000018733	ENSTRUG00000009063	ENSTNIG00000015793	ENSXMAG00000016766	
ENSDARG00000006169	ENSDART00000027174	18	ENSAMXG00000017727	ENSDARG00000006169	ENSGMOG00000016854	ENSGACG00000009572	ENSONIG00000003823	ENSORLG00000019951	ENSPFOG00000011381	ENSTRUG00000012119	ENSTNIG00000013726	ENSXMAG00000002775	
ENSDARG00000007092	ENSDART00000011780	6	ENSAMXG00000017600	ENSDARG00000007092	ENSGMOG00000009239	ENSGACG00000009978	ENSONIG00000001695	ENSORLG00000006076	ENSPFOG00000001172	ENSTRUG00000002401	ENSTNIG00000006980	ENSXMAG00000004199	
ENSDARG00000007465	ENSDART00000066249	5	ENSAMXG00000015146	ENSDARG00000007465	ENSGMOG00000016797	ENSGACG00000006590	ENSONIG00000016382	ENSORLG00000004833	ENSPFOG00000002145	ENSTRUG00000012142	ENSTNIG00000018898	ENSXMAG00000008104	
ENSDARG00000007523	ENSDART00000066903	6	ENSAMXG00000006334	ENSDARG00000007523	ENSGMOG00000003289	ENSGACG00000019979	ENSONIG00000000097	ENSORLG00000015936	ENSPFOG00000016278	ENSTRUG00000015634	ENSTNIG00000011389	ENSXMAG00000004619	
ENSDARG00000007744	ENSDART00000052645	5	ENSAMXG00000008470	ENSDARG00000007744	ENSGMOG00000010336	ENSGACG00000010843	ENSONIG00000013131	ENSORLG00000004926	ENSPFOG00000004483	ENSTRUG00000004665	ENSTNIG00000016196	ENSXMAG00000001397	
ENSDARG00000007901	ENSDART00000112689	7	ENSAMXG00000018334	ENSDARG00000007901	ENSGMOG00000007609	ENSGACG00000011852	ENSONIG00000018728	ENSORLG00000017240	ENSPFOG00000005102	ENSTRUG00000015417	ENSTNIG00000010710	ENSXMAG00000006896	
ENSDARG00000009170	ENSDART00000021317	7	ENSAMXG00000010162	ENSDARG00000009170	ENSGMOG00000002041	ENSGACG00000015700	ENSONIG00000006019	ENSORLG00000007260	ENSPFOG00000011619	ENSTRUG00000017448	ENSTNIG00000009364	ENSXMAG00000009282	
ENSDARG00000009953	ENSDART00000011304	12	ENSAMXG00000002581	ENSDARG00000009953	ENSGMOG00000012910	ENSGACG00000002015	ENSONIG00000006848	ENSORLG00000010808	ENSPFOG00000013987	ENSTRUG00000013609	ENSTNIG00000014969	ENSXMAG00000018007	
ENSDARG00000009965	ENSDART00000016753	5	ENSAMXG00000006743	ENSDARG00000009965	ENSGMOG00000017557	ENSGACG00000012432	ENSONIG00000001476	ENSORLG00000015286	ENSPFOG00000003877	ENSTRUG00000009367	ENSTNIG00000003536	ENSXMAG00000006601	
ENSDARG00000010331	ENSDART00000080774	5	ENSAMXG00000006937	ENSDARG00000010331	ENSGMOG00000014114	ENSGACG00000020337	ENSONIG00000004474	ENSORLG00000009451	ENSPFOG00000019420	ENSTRUG00000013243	ENSTNIG00000001143	ENSXMAG00000012287	
ENSDARG00000010995	ENSDART00000122724	5	ENSAMXG00000024638	ENSDARG00000010995	ENSGMOG00000006523	ENSGACG00000012908	ENSONIG00000006511	ENSORLG00000016548	ENSPFOG00000006102	ENSTRUG00000008541	ENSTNIG00000011654	ENSXMAG00000018827	
ENSDARG00000011764	ENSDART00000017572	5	ENSAMXG00000003664	ENSDARG00000011764	ENSGMOG00000003039	ENSGACG00000018815	ENSONIG00000011765	ENSORLG00000013384	ENSPFOG00000016332	ENSTRUG00000016606	ENSTNIG00000018482	ENSXMAG00000003999	
ENSDARG00000012368	ENSDART00000044270	9	ENSAMXG00000010419	ENSDARG00000012368	ENSGMOG00000014529	ENSGACG00000005428	ENSONIG00000008858	ENSORLG00000016992	ENSPFOG00000016804	ENSTRUG00000000464	ENSTNIG00000016508	ENSXMAG00000011678	
